"word","category1","category2","cosine similarity"
"help","action","adventure","0.8404271255943563"
"help","action","rpg","0.4154005587434402"
"help","action","strategy","0.37406850747880993"
"help","action","simulation","0.8376541064572784"
"help","action","sports_and_racing","0.8259992222450209"
"help","adventure","rpg","0.6928633883829631"
"help","adventure","strategy","0.4582103351994148"
"help","adventure","simulation","0.8120063371579589"
"help","adventure","sports_and_racing","0.7265822500614305"
"help","rpg","strategy","0.6381256185353098"
"help","rpg","simulation","0.570090727691249"
"help","rpg","sports_and_racing","0.5232354578540072"
"help","strategy","simulation","0.6147746854618622"
"help","strategy","sports_and_racing","0.5638428066865765"
"help","simulation","sports_and_racing","0.9584135170187309"
"8","action","adventure","0.8314073376148085"
"8","action","rpg","0.3917794798569597"
"8","action","strategy","0.2742705884701365"
"8","action","simulation","0.8017823482128481"
"8","action","sports_and_racing","0.8341328944091784"
"8","adventure","rpg","0.679872075381549"
"8","adventure","strategy","0.45032073278962903"
"8","adventure","simulation","0.9112678690561703"
"8","adventure","sports_and_racing","0.777655642102328"
"8","rpg","strategy","0.730634600514584"
"8","rpg","simulation","0.614918471792746"
"8","rpg","sports_and_racing","0.5465518922869764"
"8","strategy","simulation","0.5124231248300694"
"8","strategy","sports_and_racing","0.4591925620216749"
"8","simulation","sports_and_racing","0.9275161059929323"
"-","action","adventure","0.8451010609095402"
"-","action","rpg","0.44623874387434553"
"-","action","strategy","0.3965291731051112"
"-","action","simulation","0.8235564153960973"
"-","action","sports_and_racing","0.8534512656517821"
"-","adventure","rpg","0.7081499859955699"
"-","adventure","strategy","0.4715043261460058"
"-","adventure","simulation","0.814216350846395"
"-","adventure","sports_and_racing","0.7544941196573495"
"-","rpg","strategy","0.6588081752114303"
"-","rpg","simulation","0.5532944987419408"
"-","rpg","sports_and_racing","0.5502378251901527"
"-","strategy","simulation","0.5937981194491042"
"-","strategy","sports_and_racing","0.5148455966749136"
"-","simulation","sports_and_racing","0.9265111801536696"
"pvp","action","adventure","0.7946529022875686"
"pvp","action","rpg","0.37927216813857595"
"pvp","action","strategy","0.3141839361953587"
"pvp","action","simulation","0.8250202891655776"
"pvp","action","sports_and_racing","0.7729262821416778"
"pvp","adventure","rpg","0.7220261269833104"
"pvp","adventure","strategy","0.5037829323022626"
"pvp","adventure","simulation","0.8246172346808394"
"pvp","adventure","sports_and_racing","0.7172448622833479"
"pvp","rpg","strategy","0.7044625603458874"
"pvp","rpg","simulation","0.4655019682925312"
"pvp","rpg","sports_and_racing","0.5242561981614456"
"pvp","strategy","simulation","0.5428546610616838"
"pvp","strategy","sports_and_racing","0.4184245569873236"
"pvp","simulation","sports_and_racing","0.8693874504628316"
"well","action","adventure","0.8132113116466855"
"well","action","rpg","0.3976261321498604"
"well","action","strategy","0.4094505500793595"
"well","action","simulation","0.837137822718575"
"well","action","sports_and_racing","0.8434136455090767"
"well","adventure","rpg","0.7169200002245157"
"well","adventure","strategy","0.4770548360103001"
"well","adventure","simulation","0.8772186434329464"
"well","adventure","sports_and_racing","0.7392610469937778"
"well","rpg","strategy","0.6051505584081344"
"well","rpg","simulation","0.5683002913738135"
